hasil_preprocessing;pos_score;neg_score;final_score;label
tanggal januari total pasok toncoin ton mata uang kripto asli blockchain the open network ton miliar token pasok edar miliar token obrolangpt;4;9;-5;negatif
toncoin hadap tekan jual potensi sinyal balik muncul jelajah informasi;7;7;0;netral
toncoin ton milik sinyal tarik perhati khusus balik bullish picu harga gerak zona support indikator macd sinyal momentum positif tumbuh alamat ton minat tingkat;33;3;30;positif
bagus mes toncoin nad toncoin chog pesan domain;5;0;5;positif
bagus mes toncoin mon toncoin moyaki pesan domain;5;0;5;positif
tren bearish toncoin ton lanjut prediksi harga;8;11;-3;negatif
toncoin k ton pindah bursa harus dagang khawatir;2;5;-3;negatif
toncoin k ton pindah bursa harus dagang khawatir;2;5;-3;negatif
tren turun harga toncoin ton lanjut;6;2;4;positif
tren turun harga toncoin ton lanjut;6;2;4;positif
skyrexio toncoin ton buang pompa halo skyrexian kripto populer orang lupa ton aset kondisi bosan dapat harga gerak;12;3;9;positif
telegram x toncoin integrasi toncoin ton juta guna adopsi kripto bayar aplikasi ekonomi bot ton dukung aplikasi web;11;10;1;netral
toncoin toncoin ton momentum tumbuh ekosistem integrasi telegram analis potensi tumbuh tingkat adopsi tingkat jaring ton dunia kripto tren bullish bearish;29;6;23;positif
felizahg besar toncoin polkadot mari potong data toncoin pompa kini volume lonjak x dompet paus tumpuk diam diam obrol sosial x influencer sadar dingin rs;27;9;18;positif
dapat informasi baru acara ton taut telegram ton telegram x blog ton blog gabung inovasi jaring;13;5;8;positif
cats toncoin lipat ganda;0;3;-3;negatif
tato pof durov prancis coba main pof;4;0;4;positif
kejar impi jutawan alpha nya toncoin kendara gelombang telegram daya tarik perhati integrasi jalan polkadot bangun jembatan blockchain teknologi lintas rant;5;7;-2;negatif
ton beli nala cepat harga k terima kasih toncoin;16;3;13;positif
toncoin ton tonusdt temu harga dukung divergensi bullish rsi picu tp tp stop loss lt sumber the daily candle substack;16;8;8;positif
suka investasi hasil untung x pakar kripto lihat remittix aave toncoin;13;1;12;positif
lacak harga ton;3;0;3;positif
lomba layer panas solana ethereum garis nanti kuda hitam near manfaat ai toncoin solusi penskalaan unik goyah posisi mari saksika;16;13;3;positif
jual toncoin ambil alih tangkap agustus harga ton harga anjlok kapital pasar susut ajar;9;13;-4;negatif
sulit terjemah timbang bpe;0;0;0;netral
prediksi harga toncoin ton jan des breakout besar;14;0;14;positif
baca atur sejarah uang mudah coba main pof;15;0;15;positif
awanch periksa goats solana ton dagang solana wrapped sol ton pasang toncoin info raydium dedust butuh b;4;13;-9;negatif
prediksi harga toncoin ton tumbuh defi;9;0;9;positif
toncoin daya tarik tingkat integrasi telegram aktivitas pasar;6;0;6;positif
baca atur sejarah uang mudah coba main pof;15;0;15;positif
ikut salur youtube toncoin nila;2;3;-1;netral
toncoin dogecoin rollblock binance coin altcoin atas tumbuh eksplosif lihat rblk kripto baik beli;11;4;7;positif
analis crypto ali doge lonjak altcoin tuju tingkat toncoin senang dunia update kripto;14;0;14;positif
toncoin hadap potensi turun bentuk death cross turun tingkat bakar naik inflasi kontribusi tekan harga ton;17;7;10;positif
toncoin daya tarik tingkat integrasi telegram aktivitas pasar;6;0;6;positif
ton hadap prospek bearish turun akumulasi paus tumbuh stagnan tantang ekosistem ton dukung telegram potensi tumbuh baru rencana jembatan bitcoin;22;12;10;positif
toncoin ton tarik perhati volume transaksi proses koreksi dolar as nilai miliar dolar aplikasi defi tarik minat harap baru kernel accelerator;21;4;17;positif
