aktual,prediksi
positif,positif
negatif,netral
positif,positif
netral,positif
positif,netral
positif,netral
positif,netral
positif,positif
netral,netral
positif,netral
positif,negatif
positif,positif
positif,netral
positif,positif
negatif,negatif
positif,netral
negatif,netral
positif,positif
positif,netral
positif,netral
positif,positif
positif,netral
negatif,negatif
netral,netral
netral,netral
positif,negatif
positif,netral
positif,netral
positif,positif
netral,positif
positif,positif
netral,positif
positif,netral
negatif,netral
positif,positif
netral,positif
positif,netral
positif,positif
positif,netral
positif,negatif
positif,netral
positif,netral
positif,positif
positif,netral
positif,positif
positif,netral
positif,negatif
positif,netral
positif,netral
positif,netral
netral,netral
positif,positif
positif,netral
positif,positif
positif,positif
positif,positif
positif,positif
netral,positif
positif,netral
positif,positif
positif,netral
netral,positif
netral,netral
negatif,negatif
negatif,netral
positif,positif
positif,netral
positif,positif
positif,netral
positif,netral
negatif,negatif
positif,positif
positif,negatif
netral,positif
positif,positif
positif,positif
positif,netral
positif,netral
positif,netral
positif,netral
positif,netral
positif,netral
netral,netral
netral,positif
netral,positif
positif,positif
netral,positif
positif,netral
positif,positif
netral,netral
positif,netral
negatif,netral
positif,positif
positif,netral
positif,positif
negatif,netral
positif,positif
positif,positif
negatif,positif
negatif,negatif
negatif,negatif
positif,positif
negatif,positif
negatif,negatif
positif,netral
negatif,positif
negatif,negatif
negatif,negatif
netral,positif
positif,positif
positif,positif
positif,positif
positif,netral
positif,positif
positif,netral
positif,netral
positif,positif
positif,positif
netral,netral
positif,netral
netral,netral
negatif,negatif
positif,positif
positif,positif
positif,positif
positif,positif
positif,positif
positif,positif
positif,positif
negatif,negatif
positif,netral
positif,positif
positif,positif
netral,positif
positif,netral
netral,positif
negatif,positif
netral,positif
netral,positif
positif,positif
positif,positif
negatif,positif
positif,negatif
positif,netral
positif,netral
positif,negatif
positif,negatif
negatif,netral
negatif,negatif
netral,netral
positif,positif
positif,positif
negatif,negatif
positif,netral
netral,positif
netral,positif
positif,positif
netral,positif
positif,positif
positif,netral
positif,positif
positif,positif
netral,positif
positif,negatif
positif,netral
netral,positif
positif,positif
positif,positif
netral,netral
positif,positif
positif,netral
negatif,netral
positif,positif
positif,positif
negatif,positif
positif,negatif
positif,netral
positif,netral
positif,positif
positif,netral
netral,positif
positif,netral
netral,netral
positif,negatif
negatif,positif
positif,netral
positif,negatif
positif,positif
positif,netral
netral,netral
netral,netral
positif,netral
positif,positif
positif,netral
netral,netral
netral,netral
netral,positif
positif,positif
negatif,positif
positif,negatif
negatif,positif
negatif,netral
positif,positif
netral,netral
positif,netral
netral,positif
netral,positif
positif,netral
netral,positif
positif,positif
negatif,negatif
positif,positif
positif,positif
positif,positif
positif,netral
positif,netral
positif,positif
positif,netral
positif,negatif
netral,netral
positif,positif
negatif,negatif
positif,positif
positif,positif
negatif,negatif
positif,netral
